Year,Site,Habitat,LarvalStage,Positives,Total,AverageRf,AverageMaxTemp,AverageMinTemp,AverageTemp,AverageSpringTemp
2003,Ibon de Acherito,lake,Adult,7,8,2.731828388,12.17415094,2.348058957,7.285958273,11.53799842
2007,Lac d'Arlet,lake,Adult,129,141,2.788741991,11.86051753,2.338658518,6.921022328,7.938783957
2008,Etang d'Ayes,lake,Adult,0,41,2.149006495,12.63799947,2.582387909,7.258599518,4.688533607
2008,Gourg de Rabas,lake,Adult,43,51,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Lac d'Arlet,lake,Adult,23,34,2.524875563,11.02931824,1.504157672,6.006393322,6.551942692
2008,Lac de Lhurs,lake,Adult,0,61,2.46676249,11.94521484,2.410886719,6.936213164,2.462111958
2009,Etang d'Ayes,lake,Adult,0,35,2.389798036,12.6017468,2.268195115,6.789522169,5.709637833
2009,Ibon de Acherito,lake,Adult,157,251,2.544342185,11.06804974,2.057884512,6.249297061,10.4166493
2009,Lac d'Ansabere,lake,Adult,192,485,2.550992832,11.2039755,2.180250802,6.377852396,4.168993129
2009,Lac d'Arlet,lake,Adult,298,531,2.566077463,10.73491151,1.782293179,5.928405419,7.419120332
2009,Lac Puits d'Arious,lake,Adult,200,364,2.570018447,11.20766094,1.802718375,6.255398419,3.697896565
2016,Lac d'Arlet,lake,Adult,57,71,2.781258738,11.59808773,2.469845878,6.850800718,6.649456948
2004,Ibon de Acherito,lake,metamorph,9,14,2.774451875,11.59116711,1.806442342,6.688168719,8.970088601
2005,Ibon de Acherito,lake,metamorph,12,14,1.731873894,11.74934207,1.363157413,6.508203981,11.40719674
2006,Ibon de Acherito,lake,metamorph,20,21,2.341917741,11.74122993,1.97647926,6.750826876,11.94045725
2006,Lac d'Ansabere,lake,metamorph,29,34,2.344254749,11.82944807,2.0805426,6.843641685,5.899646962
2006,Lac Puits d'Arious,lake,metamorph,32,44,2.280061136,11.83784034,2.052649414,6.838818758,5.491969833
2006,Madamete,lake,metamorph,0,31,2.63283794,8.411277897,-0.490748594,3.857000817,5.390809754
2007,Ibon de Acherito,lake,metamorph,87,100,2.859006467,12.00821989,2.515842716,7.079889408,11.08403923
2007,Lac d'Ansabere,lake,metamorph,20,27,2.841701696,12.10570298,2.620655242,7.178185019,4.779171936
2007,Lac d'Arlet,lake,metamorph,129,141,2.828690449,11.83978062,2.332907708,6.907504444,7.938783957
2007,Lac de Lhurs,lake,metamorph,1,81,2.887401479,12.68207464,3.187812927,7.745377247,4.316405296
2007,Lac Puits d'Arious,lake,metamorph,100,103,2.839719999,12.07966111,2.580293379,7.148426507,4.504711003
2008,Etang d'Ayes,lake,metamorph,0,41,2.47987153,12.38420042,2.41234487,7.034571553,4.688533607
2008,Gourg de Rabas,lake,metamorph,43,51,2.847983572,7.064520555,-0.939556671,2.832412401,5.42362686
2008,Ibon de Acherito,lake,metamorph,53,74,2.578925375,11.21278908,1.741323309,6.233750698,10.00540754
2008,Lac d'Arlet,lake,metamorph,23,34,2.525498438,10.99417452,1.558780207,6.028537825,6.551942692
2008,Lac de Lhurs,lake,metamorph,0,61,2.46676249,11.94521484,2.410886719,6.936213164,2.462111958
2008,Lac Puits d'Arious,lake,metamorph,36,53,2.475454813,11.2825815,1.825518857,6.308398059,2.56166515
2008,Madamete,lake,metamorph,3,52,2.691498254,7.492507894,-0.593864839,3.20081507,2.477910408
2009,Ibon de Acherito,lake,metamorph,157,251,2.577554466,10.9277167,1.948713079,6.125162133,10.4166493
2009,Lac d'Ansabere,lake,metamorph,192,485,2.554956834,11.17886937,2.159619173,6.355099462,4.168993129
2009,Lac d'Arlet,lake,metamorph,298,531,2.549303527,10.7852349,1.819686011,5.973150274,7.419120332
2009,Lac de Lhurs,lake,metamorph,12,60,2.540159784,11.81416451,2.675683444,6.930602928,3.599595871
2009,Lac Puits d'Arious,lake,metamorph,200,364,2.558497949,11.0409918,2.038575694,6.217822206,3.697896565
2010,Ibon de Acherito,lake,metamorph,23,30,2.602619817,10.79680754,2.202073207,6.223714197,10.26180155
2010,Lac d'Ansabere,lake,metamorph,14,15,2.598962906,10.79803644,2.208017328,6.227887177,3.218226976
2010,Lac d'Arlet,lake,metamorph,98,157,2.609636271,10.57723395,2.00884561,6.007554492,6.759065965
2010,Lac de Lhurs,NA,metamorph,132,178,2.568771525,11.54816451,2.820455753,6.906337024,2.645119813
2010,Lac Puits d'Arious,lake,metamorph,79,108,2.615597487,10.79225302,2.202000566,6.214385223,2.657669495
2011,Ibon de Acherito,lake,metamorph,15,75,2.429676639,11.21263202,2.069495867,6.38759733,12.84467253
2011,Lac d'Ansabere,lake,metamorph,139,162,2.446194085,11.44043886,2.246148457,6.590596559,6.101983125
2011,Lac d'Arlet,lake,metamorph,171,201,2.428557434,11.0902173,1.974354533,6.265581235,9.50166236
2011,Lac de Lhurs,lake,metamorph,107,189,2.433298272,12.08373655,2.792662155,7.176947863,5.525356947
2011,Lac Puits d'Arious,lake,metamorph,49,76,2.421813382,11.32485108,2.166822527,6.480364155,5.527295171
2011,Vallon amont,pond,metamorph,0,37,2.630983135,8.575878078,0.56512783,4.256963358,13.66381932
2015,Etang d'Ayes,lake,metamorph,2,47,2.68884586,13.89654376,3.655414771,8.203320309,6.698824344
2015,Ibon de Acherito,lake,metamorph,28,32,2.804470571,12.14568702,2.995596178,7.371078334,11.69043304
2015,Lac d'Ansabere,lake,metamorph,5,18,2.80894967,12.291713,3.120635182,7.51196604,5.135013227
2015,Lac d'Arlet,lake,metamorph,25,26,2.761881331,11.94520736,2.855690701,7.199084414,8.521175225
2015,Lac de Lhurs,lake,metamorph,25,59,2.766038243,12.94268315,3.656455033,8.098435555,4.557678487
2015,Lac Puits d'Arious,lake,metamorph,5,24,2.761947354,12.22326216,3.098266828,7.457909694,4.673308983
2016,Ibon de Acherito,lake,metamorph,16,61,2.681621472,11.50088764,2.372105774,6.765793528,10.1125703
2016,Lac d'Ansabere,lake,metamorph,21,54,2.645216872,11.68685992,2.475643107,6.914588527,3.072437607
2016,Lac d'Arlet,lake,metamorph,57,71,2.622299587,11.31104556,2.180818441,6.561466936,6.649456948
2016,Lac de Lhurs,lake,metamorph,38,60,2.649981319,12.25212202,2.995846865,7.459292375,2.534351983
2016,Lac Puits d'Arious,lake,metamorph,30,91,2.640070916,11.63928768,2.465466573,6.870907936,2.736135424
2017,Ibon de Acherito,lake,metamorph,46,84,2.271278847,12.81707787,2.813637295,7.628171791,11.79818967
2017,Lac d'Arlet,lake,metamorph,56,56,2.273827748,12.59897665,2.673646314,7.42640127,8.545394477
2017,Lac de Lhurs,lake,metamorph,38,127,2.246418842,13.55855563,3.420348795,8.30602927,4.705536643
2017,Lac Puits d'Arious,lake,metamorph,41,55,2.28726885,12.87064371,2.887293991,7.67742644,4.804356833
2018,Ibon de Acherito,lake,metamorph,49,90,3.39054523,11.03775831,2.128408267,6.469645826,10.6545509
2018,Lac d'Ansabere,lake,metamorph,8,37,3.391880993,11.16222929,2.23758745,6.58799396,3.669706503
2018,Lac d'Arlet,lake,metamorph,25,41,3.367165511,10.8145011,1.930494794,6.234641393,7.206606522
2018,Lac de Lhurs,lake,metamorph,12,75,3.364727425,11.79557188,2.781878218,7.181253786,3.16396502
2018,Lac Puits d'Arious,lake,metamorph,25,63,3.356815649,11.16892553,2.231100064,6.570212663,3.315983418
2006,Lac d'Ansabere,lake,overwintered tadpole,29,34,2.344254749,11.82944807,2.0805426,6.843641685,5.899646962
2006,Madamete,lake,overwintered tadpole,0,31,2.63283794,8.411277897,-0.490748594,3.857000817,5.390809754
2007,Ibon de Acherito,lake,overwintered tadpole,87,100,2.842233121,11.96702085,2.490725629,7.046787498,11.08403923
2007,Lac d'Ansabere,lake,overwintered tadpole,20,27,2.842471621,12.08051923,2.602260958,7.157968117,4.779171936
2007,Lac de Lhurs,lake,overwintered tadpole,1,81,2.827017229,12.70252401,3.186471084,7.753948732,4.316405296
2008,Ibon de Acherito,lake,overwintered tadpole,53,74,2.515148262,11.2914669,1.627375521,6.190562129,10.00540754
2008,Lac d'Ansabere,lake,overwintered tadpole,56,60,2.549099139,11.36646041,1.79181781,6.323716746,3.032713623
2008,Lac d'Arlet,lake,overwintered tadpole,23,34,2.501885067,11.10250063,1.471020222,6.012985914,6.551942692
2008,Lac de Lhurs,lake,overwintered tadpole,0,61,2.584850353,11.89068795,2.362557227,6.886754242,2.462111958
2008,Lac Puits d'Arious,lake,overwintered tadpole,36,53,2.499134129,11.36209332,1.716904403,6.270299098,2.56166515
2008,Madamete,lake,overwintered tadpole,3,52,2.691498254,7.492507894,-0.593864839,3.20081507,2.477910408
2009,Ibon de Acherito,lake,overwintered tadpole,157,251,2.514528129,10.88778181,1.939272669,6.108904356,10.4166493
2009,Lac d'Ansabere,lake,overwintered tadpole,192,485,2.547052307,11.00537213,2.030214289,6.208931541,4.168993129
2009,Lac d'Arlet,lake,overwintered tadpole,298,531,2.487603699,10.6681396,1.735685475,5.888429967,7.419120332
2009,Lac Puits d'Arious,lake,overwintered tadpole,200,364,2.525770829,10.9018895,1.990592658,6.126042065,3.697896565
2010,Lac d'Arlet,lake,overwintered tadpole,98,157,2.599688946,10.74086132,2.083404971,6.122533501,6.759065965
2010,Lac de Lhurs,NA,overwintered tadpole,132,178,2.575711023,11.5826394,2.834260074,6.929380418,2.645119813
2010,Lac Puits d'Arious,lake,overwintered tadpole,79,108,2.578082109,11.05265653,2.302335242,6.39091204,2.657669495
2011,Ibon de Acherito,lake,overwintered tadpole,15,75,2.429676639,11.21263202,2.069495867,6.38759733,12.84467253
2011,Lac d'Ansabere,lake,overwintered tadpole,139,162,2.442686086,11.40232403,2.235575728,6.56444333,6.101983125
2011,Lac d'Arlet,lake,overwintered tadpole,171,201,2.387459163,11.01950407,1.915393975,6.201844851,9.50166236
2011,Lac de Lhurs,lake,overwintered tadpole,107,189,2.374747886,12.01637656,2.728207253,7.109981619,5.525356947
2015,Etang d'Ayes,lake,overwintered tadpole,2,47,2.68884586,13.89654376,3.655414771,8.203320309,6.698824344
2015,Ibon de Acherito,lake,overwintered tadpole,28,32,2.804470571,12.14568702,2.995596178,7.371078334,11.69043304
2015,Lac d'Ansabere,lake,overwintered tadpole,5,18,2.80894967,12.291713,3.120635182,7.51196604,5.135013227
2015,Lac de Lhurs,lake,overwintered tadpole,25,59,2.755759895,12.94205372,3.639575426,8.08849753,4.557678487
2015,Lac Puits d'Arious,lake,overwintered tadpole,5,24,2.769561602,12.32470586,3.124868376,7.528798833,4.673308983
2016,Ibon de Acherito,lake,overwintered tadpole,16,61,2.788207906,11.79639833,2.620700474,7.041754419,10.1125703
2016,Lac d'Ansabere,lake,overwintered tadpole,21,54,2.784889496,11.92290106,2.722710349,7.156344152,3.072437607
2016,Lac d'Arlet,lake,overwintered tadpole,57,71,2.781258738,11.59808773,2.469845878,6.850800718,6.649456948
2016,Lac de Lhurs,lake,overwintered tadpole,38,60,2.763671789,12.53769387,3.246316688,7.72657274,2.534351983
2016,Lac Puits d'Arious,lake,overwintered tadpole,30,91,2.76712719,11.85479228,2.692394998,7.096172161,2.736135424
2017,Ibon de Acherito,lake,overwintered tadpole,46,84,2.271278847,12.81707787,2.813637295,7.628171791,11.79818967
2017,Lac d'Ansabere,lake,overwintered tadpole,0,42,2.28197633,12.88154881,2.889553671,7.692366379,5.219583042
2017,Lac de Lhurs,lake,overwintered tadpole,38,127,2.246418842,13.55855563,3.420348795,8.30602927,4.705536643
2018,Ibon de Acherito,lake,overwintered tadpole,49,90,3.39054523,11.03775831,2.128408267,6.469645826,10.6545509
2018,Lac d'Ansabere,lake,overwintered tadpole,8,37,3.391880993,11.16222929,2.23758745,6.58799396,3.669706503
2018,Lac d'Arlet,lake,overwintered tadpole,25,41,3.367165511,10.8145011,1.930494794,6.234641393,7.206606522
2018,Lac de Lhurs,lake,overwintered tadpole,12,75,3.364727425,11.79557188,2.781878218,7.181253786,3.16396502
2005,Ibon de Acherito,lake,tadpole,12,14,1.731873894,11.74934207,1.363157413,6.508203981,11.40719674
2006,Gourg de Rabas,lake,tadpole,4,27,2.667026478,8.160556451,-0.732745753,3.632788301,8.00015285
2006,Ibon de Acherito,lake,tadpole,20,21,2.341917741,11.74122993,1.97647926,6.750826876,11.94045725
2006,Lac Puits d'Arious,lake,tadpole,32,44,2.280061136,11.83784034,2.052649414,6.838818758,5.491969833
2006,Madamete,lake,tadpole,0,31,2.63283794,8.411277897,-0.490748594,3.857000817,5.390809754
2007,Ibon de Acherito,lake,tadpole,87,100,2.858464385,12.02631346,2.523381719,7.092769293,11.08403923
2007,Lac d'Ansabere,lake,tadpole,20,27,2.842471621,12.08051923,2.602260958,7.157968117,4.779171936
2008,Etang d'Ayes,lake,tadpole,0,41,2.404245236,12.44221163,2.45121185,7.085777945,4.688533607
2008,Gourg de Rabas,lake,tadpole,43,51,2.77996901,7.046158227,-0.927662946,2.824277947,5.42362686
2008,Ibon de Acherito,lake,tadpole,53,74,2.485156926,11.21095454,1.751688531,6.236041742,10.00540754
2009,Etang d'Ayes,lake,tadpole,0,35,2.348720663,12.63851352,2.288073967,6.832099683,5.709637833
2009,Gourg de Rabas,lake,tadpole,29,30,2.879592182,6.459225434,-0.689459257,2.590142584,6.368311204
2009,Ibon de Acherito,lake,tadpole,157,251,2.537902218,11.09135383,2.075126145,6.271788646,10.4166493
2009,Lac d'Ansabere,lake,tadpole,192,485,2.536543914,11.18757232,2.162925842,6.363455148,4.168993129
2009,Lac d'Arlet,lake,tadpole,298,531,2.534089069,10.86852632,1.886653874,6.049453791,7.419120332
2009,Lac de Lhurs,lake,tadpole,12,60,2.540159784,11.81416451,2.675683444,6.930602928,3.599595871
2009,Lac Puits d'Arious,lake,tadpole,200,364,2.513713225,11.02817806,2.039414819,6.21369519,3.697896565
2009,Madamete,lake,tadpole,22,30,2.842182352,6.968705145,-0.374310275,2.980549635,3.616635505
2010,Etang d'Ayes,lake,tadpole,0,30,2.248980545,12.93820408,2.642028334,7.199683143,4.850099312
2010,Gourg de Rabas,lake,tadpole,6,97,2.962071574,6.279336211,-0.659679137,2.524582015,5.604731065
2010,Madamete,lake,tadpole,20,133,2.922726767,6.717070914,-0.381705201,2.867534988,2.660788424
2011,Gourg de Rabas,lake,tadpole,29,30,2.825956563,6.577148795,-0.575797007,2.762406695,8.417856497
2011,Lac d'Arlet,lake,tadpole,171,201,2.444413477,11.11980869,2.005230987,6.297335837,9.50166236
2011,Lac du Paradis,lake,tadpole,0,30,2.650556869,8.693470632,0.589494383,4.348206222,8.238331174
2011,Lac Puits d'Arious,lake,tadpole,49,76,2.410943,11.30098148,2.180208979,6.473393642,5.527295171
2011,Vallon amont,pond,tadpole,0,37,2.630983135,8.575878078,0.56512783,4.256963358,13.66381932
2012,Ibon de Acherito,lake,tadpole,68,107,2.061571453,12.03541944,2.384204613,6.940516996,10.88964455
2012,Lac d'Ansabere,lake,tadpole,50,85,2.021939744,12.06600926,2.452967154,6.998899518,4.026771122
2012,Lac d'Arlet,lake,tadpole,72,74,2.070457223,11.83042337,2.240481058,6.761302596,7.496901697
2012,Lac de Lhurs,lake,tadpole,32,92,2.047318738,12.81425212,3.03862577,7.667206392,3.492444639
2012,Lac Puits d'Arious,lake,tadpole,94,136,2.023217206,12.11805775,2.463724398,7.023931424,3.652778042
2013,Etang d'Ayes,lake,tadpole,0,30,3.131279496,12.42240538,2.405988625,6.90945764,3.123701562
2013,Gourg de Rabas,lake,tadpole,0,4,4.138272583,6.164493827,-0.839155381,2.384526376,3.870997882
2013,Ibon de Acherito,lake,tadpole,46,55,3.79175519,10.70397615,1.997400965,6.118015645,8.532862299
2013,Lac d'Ansabere,lake,tadpole,41,59,3.795332519,10.7993054,2.031060102,6.179284388,1.551079167
2013,Lac d'Arlet,lake,tadpole,132,138,3.777209531,10.43694722,1.756261668,5.853366998,5.068225433
2013,Lac de Lhurs,lake,tadpole,45,63,3.767767338,11.47181256,2.59589946,6.799055851,0.996893375
2013,Lac du Paradis,lake,tadpole,4,31,3.891416929,8.10686402,0.3287154,3.927225464,3.866066372
2013,Lac Puits d'Arious,lake,tadpole,72,100,3.798444657,10.71254028,1.985094292,6.109816286,1.127703056
2013,Vallon amont,pond,tadpole,0,31,3.977316,7.523392889,-0.081880772,3.440947033,9.985680747
2014,Etang d'Ayes,lake,tadpole,0,30,3.191447321,12.83854644,2.852004263,7.366314628,5.262612163
2014,Ibon de Acherito,lake,tadpole,32,35,3.2999138,11.27176328,2.403739828,6.619057741,10.49734659
2014,Lac d'Ansabere,lake,tadpole,30,30,3.299438168,11.43295421,2.537934266,6.765797346,3.642883494
2014,Lac d'Arlet,lake,tadpole,58,59,3.293692118,11.00365708,2.174132385,6.364969202,7.107204505
2014,Lac de Lhurs,lake,tadpole,40,61,3.307774632,12.00837051,3.020306744,7.30394567,3.070309751
2014,Lac Puits d'Arious,lake,tadpole,37,38,3.299011347,11.38494705,2.49010558,6.709309206,3.176098594
2015,Etang d'Ayes,lake,tadpole,2,47,2.611654484,13.46755164,3.435503532,7.909568923,6.698824344
2015,Lac du Paradis,lake,tadpole,15,29,3.135403553,9.7460436,1.645096331,5.462145127,7.328967622
2015,Vallon amont,pond,tadpole,8,22,3.036381487,9.208045215,1.277908431,5.012880608,13.05715902
2016,Lac d'Ansabere,lake,tadpole,21,54,2.527643435,12.01031139,2.707562404,7.185520961,3.072437607
2016,Lac du Paradis,lake,tadpole,0,30,2.554764098,9.491872479,1.234077514,5.117413605,5.491266625
2016,Lac Puits d'Arious,lake,tadpole,30,91,2.455975128,12.00683492,2.688033102,7.160693555,2.736135424
2016,Vallon amont,pond,tadpole,0,30,2.855371468,8.618796314,0.669159921,4.431181834,11.78447596
2017,Etang d'Ayes,lake,tadpole,0,30,2.144857928,14.34080731,3.454227783,8.315056205,6.730979909
2017,Ibon de Acherito,lake,tadpole,46,84,2.274899026,12.75773447,2.689229191,7.552029605,11.79818967
2017,Lac d'Ansabere,lake,tadpole,0,42,2.302816675,12.89212524,2.881894823,7.696304215,5.219583042
2017,Lac d'Arlet,lake,tadpole,56,56,2.265945949,12.56235273,2.563364412,7.372955922,8.545394477
2017,Lac de Lhurs,lake,tadpole,38,127,2.295936593,13.4291123,3.307191519,8.186058658,4.705536643
2017,Lac du Paradis,lake,tadpole,1,15,2.500824303,10.41676183,1.530350911,5.740124645,7.395999772
2017,Lac Puits d'Arious,lake,tadpole,41,55,2.266259294,12.83621389,2.807260129,7.631312491,4.804356833
2017,Vallon amont,pond,tadpole,0,30,2.5590922,9.870406551,1.169583938,5.307068298,12.6514977
2018,Etang d'Ayes,lake,tadpole,15,30,3.176819532,12.61868545,2.615670422,7.104711939,5.244416278
2018,Gourg de Rabas,lake,tadpole,0,16,3.885736436,7.31325382,-0.325790418,3.32787672,6.00200401
2018,Ibon de Acherito,lake,tadpole,49,90,3.307248074,11.03099283,2.144798955,6.465728183,10.6545509
2018,Lac d'Ansabere,lake,tadpole,8,37,3.326524878,11.35352997,2.358098664,6.746855193,3.669706503
2018,Lac d'Arlet,lake,tadpole,25,41,3.307833757,10.68723853,1.9028518,6.148618693,7.206606522
2018,Lac de Lhurs,lake,tadpole,12,75,3.328494045,11.95228769,2.885275852,7.314270697,3.16396502
2018,Lac du Paradis,lake,tadpole,4,32,3.705405475,8.618131525,0.653724473,4.444572845,6.054099881
2018,Lac Puits d'Arious,lake,tadpole,25,63,3.338655863,11.27045129,2.297226458,6.659237878,3.315983418
2018,Vallon amont,pond,tadpole,0,30,3.803444671,7.948225024,0.232569989,3.910788179,12.1449898